,school_name,overview_paragraph,neighborhood,location,website,grades2018,finalgrades,total_students,graduation_rate,attendance_rate,college_career_rate,Borough,addr_zip,Latitude,Longitude
10,High School for Excellence and Innovation,"At the High School for Excellence and Innovation, we empower our students by providing an abundance of opportunities for them to exercise student voice and choice during their high school experience. By building students' capacity to fully participate as community members of their school, we help them become agents of change who positively affect their homes, communities, and the world. Our belief is that regardless of previous challenges, every student can earn a high school diploma and be prepared to transition to post-secondary training or college to embark on their 21st century career paths.",Inwood,"650 Academy Street, Manhattan NY 10034(40.865556, -73.925464)",schools.nyc.gov/SchoolSearch,9 to 12,9 to 12,201,0.7905707196029778,0.68,0.5928385416666667,MANHATTAN,10034,40.866053,-73.924835
11,Life Sciences Secondary School,"At Life Sciences Secondary School, we provide an innovative and rigorous academic curriculum that facilitates the development of critical-thinking skills through project-based learning across all subject areas. Our students also have the opportunity to participate in a variety of elective courses, Advanced Placement (AP) courses, extracurricular activities, and athletic programs that allow them to pursue their passions. Students have opportunities to participate in internships in the science field and take College Now courses at Hunter College. We nurture a safe environment where students know that they are capable of growing and improving. Our commitment is to prepare every student for high school, college, careers, and beyond.",Yorkville,"320 East 96th Street, Manhattan NY 10128(40.783286, -73.945933)",schools.nyc.gov/SchoolSearch,9 to 12,9 to 12,574,0.6,0.8,0.47,MANHATTAN,10128,40.783625,-73.945637
12,Curtis High School,"Curtis High School is a Community School whose mission statement declares: ""Curtis will be a nurturing community where all of its members will have the desire and opportunity to achieve their fullest potential."" Curtis continually seeks to provide academic, extracurricular, social-emotional, and health and wellness services that are comprehensive, coordinated, and responsive to the evolving needs of our community. Curtis consists of small learning communities (houses) giving students and faculty the opportunity to teach and learn with a more personalized approach. All students, supported by our faculty and a wealth of community partnerships and resources, pursue curricula that challenge and prepare them for a world beyond Curtis.",New Brighton-St. George,"105 Hamilton Avenue, Staten Island NY 10301(40.645436, -74.082149)",curtishs.org,9 to 12,9 to 12,2587,0.73,0.85,0.48,STATEN IS,10301,40.644735,-74.081222
13,Westchester Square Academy,"Our mission is to develop confident readers, writers, and speakers who are connected to and supported by the school community. We prepare students for college with a liberal arts curriculum focused on writing, critical thinking, and peer discussion. We give them the opportunity to connect with their passions through elective coursework in the arts, sciences, and humanities. Our nurturing school culture encourages reflection, collaboration, and project-based learning. Regardless of entry program, students have a common 9th grade experience and opt-in to honors coursework starting their sophomore year.",Schuylerville-Throgs Neck,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",schools.nyc.gov/SchoolSearch,9 to 12,9 to 12,609,0.74,0.87,0.6,BRONX    ,10461,40.840702,-73.838545
14,"Brooklyn Latin School, The","Modeled after the prestigious Boston Latin school and founded in 2006, The Brooklyn Latin School provides a liberal arts curriculum with an emphasis on the Classics and Latin language instruction. Early instruction emphasizes the acquisition of core knowledge of the key academic disciplines which students use as a foundation for deeper exploration in the upper grades. Widely regarded around the world as the most rigorous and comprehensive course of study at the high school level, the International Baccalaureate (IB) Programme is integral to our curriculum. In all classes, students experience a strong and consistent emphasis on analytical thinking, structured writing, and public speaking, preparing them for the challenges of college work.",East Williamsburg,"223 Graham Avenue, Brooklyn NY 11206(40.709765, -73.944463)",brooklynlatin.org,9 to 12,9 to 12,678,0.99,0.93,0.85,BROOKLYN ,11206,40.709941,-73.943641
15,Bayside High School,"A New Visions school combining college-focused academics; professional learning experiences and internships; engaging clubs, teams, and events with personalized support designed to ensure success in college and beyond. Focus on postsecondary achievement begins at orientation and continues beyond graduation through our alumni network. Since 1936, Bayside has striven to ensure students are prepared for college and meaningful careers in a school of choice and vibrant community center.",Bayside-Bayside Hills,"32-24 Corporal Kennedy Street, Bayside NY 11361(40.771398, -73.781041)",baysidehighschool.org,9 to 12,9 to 12,3024,0.97,0.93,0.84,QUEENS   ,11361,40.771755,-73.78029599999999
16,Bronx Health Sciences High School,"This school is designed for students to explore the health sciences and related health career opportunities. Our young adults are equipped with the necessary literacy and scientific problem solving skills that enable them to become life-long learners while gaining a sense of personal and community responsibility. We emphasize literacy, character development, sensitivity, tolerance, and leadership as crucial components. Through partnerships with Lehman College and Council for Unity, students are exposed to special programs and resources. Academic requirements include the completion of four years of science, math, health sciences, community service, internships, and a portfolio assessment.",Co-op City,"750 Baychester Avenue, Bronx NY 10475(40.874035, -73.831669)",schools.nyc.gov/SchoolSearch,9 to 12,9 to 12,315,0.93,0.93,0.87,BRONX    ,10475,40.874091,-73.833904
17,Kingsborough Early College School,"At Kingsborough Early College School (KECS), all students have the opportunity to earn a tuition-free associate degree from Kingsborough Community College (KCC) during their time in secondary school. We offer instructional support, small class sizes, and access to the KCC campus as early as sixth grade. To promote higher-order thinking, students learn through inquiry, enrichment, and a challenging academic program. Our focus on youth development fosters confidence and self-advocacy resulting in students becoming successful adults prepared to continue their studies.",Gravesend,"2630 Benson Avenue, Brooklyn NY 11214(40.593028, -73.986313)",KECSS.info,6 to 12,6 to 12,657,0.98,0.91,0.89,BROOKLYN ,11214,40.594291,-73.98577
18,Academy for Language and Technology,"The Academy for Language and Technology (ALT) nurtures inquiry learning, character development, and community building. Our focus is to prepare students to compete in the global economy. Students connect technology to real-world experiences via internships and they develop literacy in both Spanish and English. Ninth graders enter one of our three technology-focused programs: media communications, computer networking, or computer technology. Our school environment-built on community, leadership, and social activism-encourages our students to grow into articulate, responsible citizens.",University Heights-Morris Heights,"1700 Macombs Road, Bronx NY 10453(40.849416, -73.915217)",schools.nyc.gov/SchoolSearch,9 to 12,9 to 12,323,0.96,0.89,0.74,BRONX    ,10453,40.849623,-73.91606999999999
19,High School for Medical Professions,"Our vision is to provide all students with access to the community for internships, field trips, and hands-on learning experiences while exploring interests in health professions. We expect that every student will undertake community service and become active, positive members of our community. We have a very dynamic school community and have many opportunities that are presented to our families.",Canarsie,"1600 Rockaway Parkway, Brooklyn NY 11236(40.640543, -73.898601)",hsmp.org,9 to 12,9 to 12,424,0.93,0.91,0.69,BROOKLYN ,11236,40.641474,-73.89825400000001
20,Frederick Douglass Academy VI High School,"Frederick Douglass Academy (FDA) VI High School is a high school built on Dr. Lorraine Monroe's vision of academic and personal excellence for all students. The emphasis on college preparation is supported by a challenging academic program and cultural enrichment. A set of core rules visible at every Frederick Douglass Academy signals the seriousness of purpose for the school, its students, and teachers. All students must adhere to a code of student conduct and a uniform code. Students are also required to participate in extensive after-school academic enrichment programs.",Far Rockaway-Bayswater,"8-21 Bay 25th Street, Far Rockaway NY 11691(40.601537, -73.763995)",fdavi.org,9 to 12,9 to 12,349,0.47,0.83,0.34,QUEENS   ,11691,40.60201,-73.762795
21,Wadleigh Secondary School for the Performing & Visual Arts,"Wadleigh Secondary School for the Performing and Visual Arts is a nurturing and unique environment which offers two distinct programs that equally prepare students for college and career readiness. Our Performing and Visual Arts Program offers majors in: Dance, Theater Arts, Vocal Music, Instrumental Music and Visual Arts, which require individual auditions. The Wadleigh Honors Academy offers a rigorous academic program with advanced studies in science and math, as well as an opportunity to explore the performing and visual arts. Our varied internships and partnerships expose our students to careers and interests in both the performing and visual arts.",Central Harlem South,"215 West 114th Street, Manhattan NY 10026(40.80261, -73.954152)",wadleigharts.org,6 to 12,6 to 12,278,0.75,0.81,0.4,MANHATTAN,10026,40.802207,-73.954142
22,Marble Hill High School for International Studies,Marble Hill SIS is an international community whose student body encompasses over 45+ countries and speaks over 30+ languages. Each 9th grade is composed of 50% ELLs and 50% mainstream students-creating a very diverse and challenging college preparatory learning environment with: School dress code -Four years of Math & Science -Three years of a foreign language (for mainstream students) -Semester Portfolio presentations -IMentor program matching college educated mentor with every student for four years -Community Service-100 hours -College Bound Initiative Partnership -Seven AP's (11th & 12th grades) -International exchange & travel opportunities -Summer bridge for incoming 9th graders -Dedicated and experienced teaching and support staff.,Spuyten Duyvil-Kingsbridge,"99 Terrace View Avenue, Bronx NY 10463(40.877379, -73.912686)",Marblehillschool.org,9 to 12,9 to 12,437,0.9,0.93,0.82,BRONX    ,10463,40.877105,-73.912256
23,Institute for Health Professions at Cambria Heights,"The Institute for Health Professions at Cambria Heights is a New York Performance Standards Consortium school that prepares students for college and career through a challenging and rich curriculum. The school meets individual learning needs by tapping into our students' passions. Students take their learning beyond the classroom by collaboratively solving problems and completing labs based on the realities of emergency medicine and hospital care. Students will participate in training exercises at Northwell Health's Center for Learning and Innovation, complete rotations on an ambulance or in a long-term care facility, and earn CTE certification in Emergency Medical Services.",Cambria Heights,"207- 01 116th Avenue, Cambria Heights NY 11411(40.698786, -73.74633)",ihpch.org,9 to 12,9 to 12,420,0.89,0.89,0.5928385416666667,QUEENS   ,11411,40.697819,-73.745728
24,East-West School of International Studies,"We are a small, inclusive school guided by four pillars: Honor, Excellence, Curiosity, and Celebration. Ninety-eight percent of our students go to college. Students engage in a college-bound academic program of Regents, AP, CUNY College Now courses, and study Chinese, Korean, or Japanese. We offer a robust after-school club culture supported by our student government. We encourage acts of kindness through Rachel's Challenge, an anti-bullying program. Our Parent Coordinator keeps parents informed through biweekly postcards, a newsletter, and First Fridays. Grades and progress reports are available online. Seniors attend college prep classes. Our NEST program provides significant individual support for students with autism.",Flushing,"46-21 Colden Street, Flushing NY 11355(40.74943, -73.821402)",ewsis.org,6 to 12,6 to 12,649,0.93,0.91,0.87,QUEENS   ,11355,40.749545,-73.822073
25,Liberation Diploma Plus High School,"The mission of Liberation Diploma Plus High School, is to develop the student academically, socially, and emotionally. We will equip students with the skills needed to evaluate their options so that they can make informed and appropriate choices and create personal goals for success. Our year-round model (trimesters plus summer school) provides students the opportunity to gain credits and attain required graduation competencies at an accelerated rate. Our partners offer all students career preparation and college exposure. Students have the opportunity to earn college credit(s). In addition to fulfilling New York City graduation requirements, students are required to complete a portfolio to receive a high school diploma.",Seagate-Coney Island,"2865 West 19th Street, Brooklyn NY 11224(40.576976, -73.985413)",schools.nyc.gov/SchoolSearch,"School is structured on credit needs, not grade level","School is structured on credit needs, not grade level",225,0.7905707196029778,0.53,0.5928385416666667,BROOKLYN ,11224,40.577208,-73.98595300000001
26,Robert H. Goddard High School of Communication Arts and Technology,"Goddard High School for Communication Arts and Technology provides students with a challenging academic program to prepare them to be successful in high school and college. We foster critical thinking and creative artistic expression to give our students the skills they need to achieve their future goals. Classrooms are equipped with the most cutting-edge technology to fully immerse and engage students in the content they are learning. Our STEM science lab and digital art studio allow students to generate expressive and compelling projects through the use of a 3-D printer, Apple Macbook Pros, and Photoshop. Enrichment activities include theater productions, college trips, trips to science laboratories, and visits to the MOMA and MET.",Ozone Park,"138-30 Lafayette Street, Ozone Park NY 11417(40.670905, -73.845992)",goddardhs308.org,9 to 12,9 to 12,621,0.93,0.92,0.65,QUEENS   ,11417,40.671240000000004,-73.845141
27,Metropolitan Expeditionary Learning School,"We follow the EL Education model, in which students engage in learning expeditions and have multiple opportunities for hands-on learning. Students participate in fieldwork experiences with civic leaders, industry figures, and environmental scientists who take them outside of the classroom and give them a chance to experience the concepts they are learning. Students receive a strong background in science, technology, and sustainability and have many opportunities to apply the ideas learned in class to real-world after-school projects.",Forest Hills,"91-30 Metropolitan Avenue, Forest Hills NY 11375(40.708431, -73.855543)",metropolitanels.com,6 to 12,6 to 12,841,0.97,0.93,0.9,QUEENS   ,11375,40.711366999999996,-73.856698
28,High School for Dual Language and Asian Studies,"At our school, Chinese (Mandarin) speaking English Language Learners and English proficient students learn both languages while preparing for college and careers. We have a challenging curriculum that includes enriched math and science courses and opportunities to participate in a variety of Advanced Placement (AP) classes by 11th grade. Asia-related topics are woven into all subject areas. Dual Language students are expected to exceed city and state standards and demonstrate cross-cultural behavior. English proficient students and English Language Learners learn together in both languages. All students are expected to comprehend, speak, read, and write in English and Chinese by the time they graduate.",Chinatown,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",schools.nyc.gov/SchoolSearch,9 to 12,9 to 12,396,1.0,0.98,0.86,MANHATTAN,10002,40.716778000000005,-73.989337
29,Sunset Park High School,"Sunset Park High School is a diverse and inclusive school that prepares all students for post-secondary education and the challenging demands of a changing world. Our school is divided into three small learning communities for grades 9-11 that use teams of teachers to provide personal attention, including advisory, to each student. In the 12th Grade Academy, students move into a school-wide small learning community giving them the opportunity to experience a rehearsal for college life enabling them to meet students from across the school and to have choices in courses. Our school is committed to college readiness, parent engagement, community involvement, and enrichment/tutoring opportunities through a comprehensive after-school program.",Sunset Park West,"153 35th Street, Brooklyn NY 11232(40.655583, -74.004342)",sunsetparkhighschool.org,9 to 12,9 to 12,1230,0.77,0.87,0.51,BROOKLYN ,11232,40.65571,-74.005197
30,Young Women's Leadership School of Brooklyn (TYWLS),"The Young Women's Leadership of Brooklyn empowers young women to become confident and compassionate leaders. We nurture the intellectual curiosity of the whole girl to maximize her academic achievement, socio-emotional well-being, and post-secondary success. TYWLS is supported by Young Women's Leadership Network and its CollegeBound Initiative in order to replicate the best practices of private and independent girls schools. TYWLS of Brooklyn opened in 2008 as the 5th school in the network. TYWLS strives to instill in students a sense of self-efficacy and community responsibility, characteristics which will support them as they become the leaders of the next generation.",Bushwick,"325 Bushwick Avenue, Brooklyn NY 11206(40.705005, -73.93879)",tywlsbrooklyn.org,6 to 12,6 to 12,406,1.0,0.88,0.97,BROOKLYN ,11206,40.705203999999995,-73.93940699999999
31,Manhattan / Hunter Science High School,"Manhattan/Hunter Science High School is an early college high school partnership between Hunter College and the New York City Department of Education. Our program provides students with the tools, guidance, and support they need to become successful college students, as well as leaders in a range of careers, not limited to science and technology. Students who graduate from our program will have completed several college courses, a cumulative research program, a Congressional Award School certificate, and the requirements for a New York State Regents Diploma with a semester of college credits.",Lincoln Square,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",mhshs.org,9 to 12,9 to 12,442,0.99,0.97,0.88,MANHATTAN,10023,40.774351,-73.984753
32,James Madison High School,"The mission of James Madison High School is to engage, challenge, and educate the minds of our students. Our classroom communities inspire and encourage our students to ask questions, seek answers, and taken an ownership role in their education. Our educators, staff, and students herald community connectedness within the walls of our school itself and strive to give back to the communities around us. In our efforts to continue our growth as individuals, all members of James Madison High School ask, ""What's next?"" Our collective responses continue to shape us as individuals and grow our academic, athletic, and creative communities.",Madison,"3787 Bedford Avenue, Brooklyn NY 11229(40.610499, -73.947661)",MadisonHS.org,9 to 12,9 to 12,3657,0.83,0.94,0.64,BROOKLYN ,11229,40.609912,-73.948512
33,Collegiate Institute for Math and Science (CIMS),"Collegiate Institute for Math & Science offers a rounded educational program with a concentration in Mathematics and the Sciences. All students are expected to study four years of math and science in our Academy. We believe that the basis for all students' success is a function of their focus, commitment, and grit. Although our academic focus is on mathematics and science, we strive to meet the social and emotional needs of all students.",Bronxdale,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",www.cimsnyc.org,9 to 12,9 to 12,616,0.9,0.9,0.81,BRONX    ,10469,40.859665,-73.861006
34,Bard High School Early College,"Bard High School Early College Manhattan (BHSEC Manhattan) was founded on the belief that many students are ready to do serious college work at age 16. Bard College partnered with the NYC Department of Education to create an innovative program that enables high school students to move in four years from 9th grade through the first two years of college, earning a high school diploma, up to sixty college credits, and an Associate of Arts (AA) degree upon graduation.",Lower East Side,"525 East Houston Street, Manhattan NY 10002(40.718276, -73.976093)",bard.edu/earlycollege,9 to 12,9 to 12,588,0.99,0.95,0.98,MANHATTAN,10002,40.719029,-73.975891
35,William E. Grady Career and Technical Education High School,"Our learning community is molded after the CTE tradition. Respectful of our students' self-worth, we dedicate ourselves to the development of a caring, sharing, and challenging atmosphere. Through a variety of educational offerings, social and cultural experiences, athletic programs, work opportunities, and services, we develop the whole student. We devote all of our resources to ensure that each student receives the education necessary to meet the challenges of a changing world.",Brighton Beach,"25 Brighton 4th Road, Brooklyn NY 11235(40.583263, -73.963764)",gradyhs.com,9 to 12,9 to 12,458,0.71,0.82,0.22,BROOKLYN ,11235,40.582584999999995,-73.963477
36,Harvest Collegiate High School,"Harvest Collegiate High School offers a rich and challenging intellectual education that engages students in the natural process of experience, questioning, the pursuit of precision, and reflection - the way people really learn. We believe in cultivating students' power to produce and reflect, rather than simply consume, as a fundamental way of being in the world. We aspire to being and contributing creatively to a 'sane society,' one of peace, growth, and joy. We believe all young people flourish in conditions that challenge and support. We prepare students for success in college and for participatory leadership that promotes values of active responsibility for mankind and our world.",West Village,"34 West 14th Street, Manhattan NY 10011(40.736416, -73.995731)",harvestcollegiate.org,9 to 12,9 to 12,487,0.87,0.85,0.79,MANHATTAN,10011,40.736518,-73.994858
37,Origins High School,"Origins prepares students for success in college by building on strengths and being attentive to individual needs. We make it a priority to know our students and their families through our advisory program. Our inquiry-based curriculum asks students to develop questions, conduct research, and prepare in-depth projects that exhibit their learning. Origins' challenging liberal arts education is grounded in small group work, reading analysis, and an emphasis on writing. Students present portfolios of work to panels of teachers and community members yearly. And our robust arts program offers students multiple outlets for expressing their creativity. At Origins, our students graduate as active, confident learners, and problem-solvers.",Sheepshead Bay,"3000 Avenue X, Brooklyn NY 11235(40.593157, -73.936635)",originshighschool.org,9 to 12,9 to 12,427,0.76,0.83,0.5928385416666667,BROOKLYN ,11235,40.594124,-73.937696
38,Bedford Academy High School,"Bedford Academy High School's effective instruction, along with an environment conducive to learning, enables us to promote the development of citizens with strong values and technological skills. We prepare students for careers in medicine, engineering, and law. Enhancing each student's academic repertoire impacts on their individual challenges in life so that they may become positive role models in their communities. Bedford Academy's motto is: ""Academic empowerment is the birthright of every child!""",Bedford-Stuyvesant,"1119 Bedford Avenue, Brooklyn NY 11216(40.685486, -73.953692)",bedfordacademyhs.org,9 to 12,9 to 12,364,0.98,0.93,0.88,BROOKLYN ,11216,40.68538,-73.954302
39,Bronx Latin,"The Bronx Latin School is a college preparatory school for students in grades 6-12. We offer a rigorous program of arts and sciences and encourage serious scholarship, independent thought, and clarity of expression. We work to inspire students to achieve their personal best through collaboration, inclusion, and goal-setting in a supportive environment of high expectations. We believe every child has the right to an exemplary education. We strive to empower our students to thrive in and graduate from college and positively impact their communities.",Longwood,"800 Home Street, Bronx NY 10456(40.826933, -73.900593)",bronxlatin.com,6 to 12,6 to 12,579,0.96,0.9,0.82,BRONX    ,10456,40.827743,-73.90010500000001
40,Manhattan Center for Science and Mathematics,"We are a college preparatory high school. Course offerings and high standards enable students to succeed after graduation at the nation's most selective colleges. Our teachers provide each student with personalized attention and guidance. We provide four years of science and math with extensive liberal arts. Every freshman will take a year-long writing intensive small class-size English course to prepare them for college. Most students take Advanced Placement (AP) courses. Many of our students take college courses though Columbia University DDC and CUNY College Now program. Our students participate in scientific research with university mentors, some resulting in publication. A new SAT/ACT initiative helps students' competitive standings.",East Harlem North,"260 Pleasant Avenue, Manhattan NY 10029(40.794184, -73.932868)",mcsm.net,9 to 12,9 to 12,1625,0.96,0.93,0.8,MANHATTAN,10029,40.793856,-73.934028
41,It Takes a Village Academy,"It Takes a Village Academy's (ITAVA) mission is to help students gain academic skills and knowledge, promote an understanding of and respect for diverse cultures and languages, support active and responsible citizenship, and inspire in our students a lifelong love of learning and pursuit of excellence.  Our focus from 9th grade is college and career readiness, which is facilitated by our Early College programs with Berkeley College, Medgar Evers College, LIU, Monroe College and Kingsborough Community College, internships and a robust after school and Saturday Academy geared to building skills of critical thinking and problem solving.",East Flatbush,"5800 Tilden Avenue, Brooklyn NY 11203(40.647728, -73.922212)",schools.nyc.gov/SchoolSearch,9 to 12,9 to 12,730,0.89,0.91,0.76,BROOKLYN ,11203,40.648657,-73.92217099999999
42,Beacon High School,"Beacon High School offers an inquiry-based program with technology and arts infused throughout the curriculum. We emphasize a challenging, well-rounded liberal arts education based on the principle of shared exploration and problem-solving. In assessments for graduation, students present performance-based projects to panels of teachers. Beacon offers extensive opportunities to participate in clubs, sports, community service, and international travel.",Clinton,"522 West 44th Street, New York NY 10036(40.760858, -73.996262)",beaconschool.org,9 to 12,9 to 12,1380,1.0,0.96,0.87,MANHATTAN,10036,40.761452,-73.995802
43,York Early College Academy,"The mission of York Early College Academy is to develop the skills needed for success in college and careers. College preparation is continually communicated to our students. This goal is expressed by teachers, parents, and the surrounding, supportive community. In addition to a challenging and advanced academic curriculum, we are pleased to offer students the opportunity to graduate from our school with 40-60 college credits. Our students have the full support of York College, the Early College Initiative, and the Department of Education. York Early College Academy is an open road to college.",South Jamaica,"108-35 167th Street, Jamaica NY 11433(40.69691, -73.786403)",yorkearlycollegeacademy.com,6 to 12,6 to 12,646,0.99,0.95,0.94,QUEENS   ,11433,40.69719,-73.787192
44,The Urban Assembly School for Collaborative Healthcare,"At UASCH, we prepare students for college and careers with a broad and deep focus on unique healthcare sectors. Coursework is as challenging as it is supportive with a strong emphasis on cross-curricular and project-based learning. As a member of the highly successful Urban Assembly network, UASCH has established partnerships with top-tier healthcare facilities that work in order to bring timely healthcare topics into the classroom and expose students to modern healthcare facilities. UASCH values parents as partners and cultivates a strong school-parent relationship. Our trimester system allows students to rapidly accumulate credits thereby making it possible for them to pursue off-site educational opportunities in the 12th grade.",Cypress Hills,"999 Jamaica Avenue, Brooklyn NY 11208(40.693002, -73.869305)",uasch.org,9 to 12,9 to 12,313,0.7905707196029778,0.87,0.5928385416666667,BROOKLYN ,11208,40.691146,-73.868328
